Order No,Part No,Part Description,Supplier Name,Promised Delivery Date,Actual Delivery Date,Delay (Days),Is Overdue
15235651,8112152,"Storz coupling 3"" B (EAN: 2050000007934)",Supplier_47FA33,2025-05-27,2025-05-28,1,True
15234680,8088029,Man Hours,Supplier_28328E,2025-05-30,2025-05-29,-1,False
15235130,8098360,Freight for PO:15234678,Supplier_BD1D3D,2025-05-30,2025-05-29,-1,False
15233407,8122038,"Duplex Jumper LC-SC 62,5/125µ 5m, OM1, LSZH, orange",Supplier_BC3711,2025-03-28,2025-03-31,3,True
15231402,8023432,TetraFlex Dongle,Supplier_909AE9,2025-03-21,2025-03-26,5,True
15231402,8100636,"Service Box SB422, 110–240VAC",Supplier_909AE9,2025-03-21,2025-03-26,5,True
15231402,8104511,"Carrier license, TETRA",Supplier_909AE9,2025-03-21,2025-03-26,5,True
15231402,8108049,GA422 GNSS Antenna with Bracket,Supplier_909AE9,2025-03-21,2025-03-26,5,True
15231402,8111030,"BS422-S Multi-Tech Base Station, 1-4 carrier, 70-870 MHz",Supplier_909AE9,2025-03-21,2025-03-26,5,True
15235955,8004421,"Nuova Fima Pressure Gauge 63 mm Testgauge EN837-1 0-250Bar, 1/4 Inch RG, Lower Connection, Brass, Class 1,6",Supplier_70CAD1,2025-06-03,2025-05-30,-4,False
15234687,8080505,"Patch Panel 19"" 1U, 24-port, Black RAL9005",Supplier_BC3711,2025-05-14,2025-05-15,1,True
15234687,8109400,"Blind dummy Insert for Keystone holes, RAL9011",Supplier_BC3711,2025-05-14,2025-05-15,1,True
15234007,8112591,Enclosure VXIT Modul MOD 104171,Supplier_894681,2025-05-14,2025-05-15,1,True
15235361,8132541,"Extension Cable C14 180° - C15 180°, black, 3.0 m 3 x 1,00 mm² H05RN-F (Gummi)",Supplier_BC3711,2025-05-16,2025-05-16,0,False
15235361,8132541,"Extension Cable C14 180° - C15 180°, black, 3.0 m 3 x 1,00 mm² H05RN-F (Gummi)",Supplier_BC3711,2025-05-16,2025-05-16,0,False
15232466,8131872,Circuit Breaker 6A 1U,Supplier_96E3C4,2025-04-07,2025-03-31,-7,False
15232479,8098326,Label for Inergen Cylinder,Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232479,8098339,"Seal, Red",Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232479,8098340,"Seal Wire, Coarse, SS",Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232479,8100538,Hose Dn10-400 1.0m Ci Disc Elb,Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232479,8100539,Hose Dn10-400 1.5m Ci Disc Elb,Supplier_A9A219,2025-04-15,2025-04-04,-11,False
